condition,correct_spkr_list,correct_spkr_mean,correct_spkr_sem,correct_word_list,correct_word_mean,correct_word_sem,f0_shift_in_semitones,tag_expt,tag_model
harmonic,"[0.5, 0.0, 0.3333333333333333, 0.75, 0.6666666666666666, 0.3333333333333333, 0.25, 1.0, 0.0, 0.5, 0.0, 0.5, 1.0, 1.0, 0.0, 0.3333333333333333, 0.5, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.5, 0.0, 1.0, 0.0, 0.5, 0.3333333333333333, 1.0, 0.6666666666666666, 0.25, 0.0, 0.0, 0.2, 0.3333333333333333, 0.5, 0.0, 0.6666666666666666, 0.0, 0.75, 0.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 1.0, 0.0, 1.0, 0.5, 1.0, 0.0, 1.0, 0.3333333333333333, 0.6666666666666666, 1.0, 1.0, 0.5, 0.0, 0.25, 0.3333333333333333, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 1.0, 0.2, 0.2, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.25, 0.3333333333333333, 1.0]",0.3507662835249042,0.039096682709881904,"[0.8857142857142857, 0.7142857142857143, 0.7777777777777778, 0.8, 0.8285714285714286, 0.7777777777777778, 0.6857142857142857, 0.8285714285714286, 0.8333333333333334, 0.8571428571428571, 0.7037037037037037, 0.7142857142857143, 0.8333333333333334, 0.7142857142857143, 0.8611111111111112, 0.8333333333333334, 0.7428571428571429, 0.6, 0.8181818181818182, 0.8285714285714286, 1.0, 0.5]",0.7790250994796449,0.02228353595230748,-12.0,pitch_altered,human
harmonic,"[0.6666666666666666, 0.5, 0.6666666666666666, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 1.0, 0.3333333333333333, 0.6666666666666666, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.5, 0.6666666666666666, 1.0, 0.6666666666666666, 0.5, 0.3333333333333333, 0.3333333333333333, 1.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.3333333333333333, 0.75, 1.0, 0.5, 1.0, 0.5, 0.0, 0.6, 0.0, 0.6666666666666666, 0.0, 0.0, 0.5, 0.0, 1.0, 1.0, 1.0, 0.0, 0.4, 0.25, 1.0, 0.25, 0.6666666666666666, 0.75, 0.3333333333333333, 0.0, 0.5, 0.6666666666666666, 0.5, 0.75, 0.3333333333333333, 0.5, 0.6666666666666666, 0.75, 1.0, 1.0, 0.0, 1.0, 0.0]",0.550561797752809,0.03995146002017099,"[0.8, 0.6451612903225806, 0.8888888888888888, 0.7222222222222222, 0.8, 0.8888888888888888, 0.8076923076923077, 0.8285714285714286, 0.8, 0.8611111111111112, 0.4736842105263157, 0.8285714285714286, 0.4545454545454545, 0.6571428571428571, 0.75, 0.8055555555555556, 0.8333333333333334, 0.6571428571428571, 0.6857142857142857, 0.8888888888888888, 0.8, 0.7714285714285715]",0.7567519809339536,0.025574041133806666,-6.0,pitch_altered,human
harmonic,"[0.0, 0.6, 1.0, 0.5, 1.0, 1.0, 0.3333333333333333, 1.0, 0.6666666666666666, 1.0, 0.5, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.75, 1.0, 0.75, 0.3333333333333333, 0.0, 0.0, 1.0, 1.0, 1.0, 0.5, 0.6666666666666666, 1.0, 1.0, 1.0, 0.0, 0.5, 0.5, 0.6666666666666666, 1.0, 0.75, 1.0, 0.75, 0.3333333333333333, 0.5, 0.0, 0.25, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.6666666666666666, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 0.0, 0.0, 0.5, 0.0, 1.0, 1.0, 0.5, 1.0, 1.0, 0.0, 0.5, 0.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.75, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 0.75, 1.0, 1.0, 1.0]",0.6843859649122807,0.03686229205749388,"[0.7142857142857143, 0.7692307692307693, 0.8857142857142857, 0.8611111111111112, 0.7714285714285715, 0.8055555555555556, 0.8571428571428571, 0.78125, 0.7714285714285715, 0.6363636363636364, 0.7142857142857143, 0.9142857142857144, 0.8285714285714286, 0.8285714285714286, 0.7058823529411765, 0.7428571428571429, 0.7142857142857143, 0.8055555555555556, 0.7714285714285715, 0.8857142857142857, 0.5, 0.7777777777777778]",0.7746693981152538,0.019601855153153692,-3.0,pitch_altered,human
harmonic,"[0.25, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.6666666666666666, 1.0, 0.75, 1.0, 0.8, 1.0, 1.0, 1.0, 0.75, 0.6666666666666666, 1.0, 0.5, 1.0, 0.6666666666666666, 0.5, 1.0, 0.5, 1.0, 0.75, 1.0, 1.0, 0.5, 1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.0, 1.0, 0.5, 1.0, 0.8, 1.0, 0.5, 1.0, 1.0, 0.25, 1.0, 1.0, 0.6666666666666666, 0.75, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 0.75, 1.0, 0.3333333333333333, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 0.8, 0.6666666666666666, 1.0, 1.0, 0.0, 1.0, 0.8, 1.0, 0.5, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.0, 1.0, 0.6666666666666666, 0.0, 1.0]",0.7957875457875458,0.031217541446257643,"[0.8285714285714286, 0.7272727272727273, 0.8333333333333334, 0.8888888888888888, 0.5714285714285714, 0.8571428571428571, 0.8888888888888888, 0.8285714285714286, 0.7222222222222222, 0.8857142857142857, 0.84375, 0.8285714285714286, 0.8611111111111112, 0.8, 0.9722222222222222, 0.8055555555555556, 0.75, 0.8055555555555556, 0.6944444444444444, 0.875, 0.6, 0.7428571428571429]",0.8005046405614586,0.02035698041775425,0.0,pitch_altered,human
harmonic,"[1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 0.5, 1.0, 1.0, 0.6666666666666666, 1.0, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.5, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.75, 0.5, 0.5, 0.5, 0.0, 1.0, 1.0, 0.6, 0.4, 1.0, 0.6666666666666666, 1.0, 0.5, 0.6666666666666666, 1.0, 0.75, 0.0, 0.5, 1.0, 0.5, 0.6666666666666666, 0.75, 0.0, 0.5, 1.0, 0.0, 0.6666666666666666, 1.0, 0.5, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0, 0.3333333333333333, 1.0, 0.5, 1.0, 0.75, 1.0, 0.5, 0.0, 0.0, 1.0, 0.75, 1.0, 0.6666666666666666, 1.0, 0.5, 0.8, 0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 0.0, 0.6, 0.6666666666666666, 1.0, 0.0, 0.0]",0.6914855072463768,0.03612723280250852,"[0.8611111111111112, 0.7777777777777778, 0.8571428571428571, 0.75, 0.8857142857142857, 0.7777777777777778, 0.6923076923076923, 0.8181818181818182, 0.8055555555555556, 0.8611111111111112, 0.8285714285714286, 0.9166666666666666, 0.5333333333333333, 0.8055555555555556, 0.6923076923076923, 0.7714285714285715, 0.7222222222222222, 0.8571428571428571, 0.6521739130434783, 0.7142857142857143, 0.8888888888888888, 0.7]",0.7804207650057453,0.01971074793640498,3.0,pitch_altered,human
harmonic,"[0.0, 1.0, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 1.0, 0.0, 0.3333333333333333, 0.5, 0.6666666666666666, 0.0, 0.0, 0.0, 0.8, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 1.0, 0.5, 0.5, 1.0, 0.8, 0.0, 0.75, 0.0, 1.0, 0.6666666666666666, 1.0, 0.0, 1.0, 0.0, 0.75, 1.0, 0.5, 1.0, 0.0, 1.0, 0.6, 1.0, 0.0, 1.0, 0.3333333333333333, 1.0, 0.0, 0.75, 0.5, 1.0, 0.6666666666666666, 0.5, 0.5, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 0.5, 0.6666666666666666, 0.0, 0.4, 0.6666666666666666, 1.0, 0.8, 1.0, 0.0, 0.5, 0.6666666666666666, 0.5, 0.5, 1.0, 0.25, 0.6666666666666666, 1.0, 1.0, 0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.25]",0.5285440613026821,0.04101618058589607,"[0.8055555555555556, 0.6666666666666666, 0.7692307692307693, 0.5384615384615384, 0.75, 0.7142857142857143, 0.6, 0.8333333333333334, 0.8857142857142857, 0.7222222222222222, 0.7142857142857143, 0.8461538461538461, 0.7428571428571429, 0.6944444444444444, 0.8611111111111112, 0.7333333333333333, 0.8055555555555556, 0.7777777777777778, 0.8857142857142857, 0.8055555555555556, 0.8611111111111112, 0.7714285714285715]",0.762945387945388,0.018945236101220637,6.0,pitch_altered,human
harmonic,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 0.6, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 1.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.25, 0.0, 1.0, 0.25, 0.0, 0.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 1.0, 0.3333333333333333, 1.0, 1.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.6666666666666666, 1.0, 0.25, 1.0, 0.5, 0.0, 0.5, 0.25, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.25, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.25, 0.5, 1.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.5, 0.0, 0.0, 0.0, 0.0, 1.0, 0.25, 0.5, 0.0, 0.5, 0.5, 0.25, 0.5, 0.0, 0.0, 0.0, 0.25]",0.3153985507246377,0.038349164155696114,"[0.8888888888888888, 0.8055555555555556, 1.0, 0.5882352941176471, 0.7777777777777778, 0.7142857142857143, 0.6571428571428571, 0.8055555555555556, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.6666666666666666, 0.7428571428571429, 0.8571428571428571, 0.8, 0.6857142857142857, 0.8611111111111112, 0.7142857142857143, 0.8333333333333334, 0.7142857142857143, 0.65625, 0.7272727272727273]",0.7758086257919146,0.020849890947713848,12.0,pitch_altered,human
inharmonic,"[1.0, 0.3333333333333333, 1.0, 0.5, 0.0, 0.5, 0.6666666666666666, 1.0, 1.0, 0.5, 1.0, 1.0, 0.0, 1.0, 0.5, 0.25, 0.0, 0.75, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.6666666666666666, 1.0, 0.0, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 0.3333333333333333, 0.0, 0.5, 0.6666666666666666, 1.0, 1.0, 0.0, 0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.75, 1.0, 0.0, 0.5, 0.0, 0.3333333333333333, 0.5, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.5, 1.0, 0.75, 0.3333333333333333, 1.0, 1.0, 0.5, 1.0, 0.6, 0.5, 0.5, 0.75, 1.0, 1.0, 0.6666666666666666, 0.75, 0.6666666666666666, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.6666666666666666, 0.5]",0.6315217391304347,0.03959741308484476,"[0.8571428571428571, 0.8055555555555556, 0.8611111111111112, 0.6666666666666666, 0.8, 0.8333333333333334, 0.8333333333333334, 0.7428571428571429, 0.7857142857142857, 0.8, 0.8, 0.8611111111111112, 0.8333333333333334, 0.6, 0.8857142857142857, 0.7777777777777778, 0.8857142857142857, 0.75, 0.8611111111111112, 0.6388888888888888, 0.6923076923076923, 0.7]",0.7850760350760351,0.017371828516919704,0.0,pitch_altered,human
harmonic,"[0.8873994638069705, 0.9276139410187667, 0.8981233243967829, 0.938337801608579, 0.9436997319034852, 0.9329758713136729, 0.938337801608579, 0.9302949061662198, 0.9195710455764075, 0.9276139410187667]",0.9243967828418229,0.0057472511852773795,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-12.0,pitch_altered,models/spkr_recognition/IHC0050/arch0_00??
harmonic,"[0.8954423592493298, 0.9302949061662198, 0.8873994638069705, 0.9276139410187667, 0.9571045576407506, 0.9195710455764075, 0.9302949061662198, 0.9168900804289544, 0.9195710455764075, 0.9329758713136729]",0.92171581769437,0.0062017342530464445,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-11.0,pitch_altered,models/spkr_recognition/IHC0050/arch0_00??
